Year@Day@Name@Parsing@Part 1@Part 2@Total@Part 1 result@Part 2 resutl@Part 1 status@Part 2 status
2017@4@High-Entropy Passphrases@0.378@1.432@5.294@7.104@466@251@OK@OK
2017@7@Recursive Circus@16.408@0.000@8.075@24.483@xegshds@299@OK@OK
2017@5@A Maze of Twisty Trampolines, All Alike@0.398@1.885@115.816@118.098@339351@24315397@OK@OK
@@Total@17.184@3.317@129.185@149.685@@@@
@@Per puzzle@5.728@1.106@43.062@49.895@@@@
